,datatype,loss,acc,prec,rec,roc,pr,f1,gmean,rmse,model
2,train,0.2837309226977685,0.8476890756302521,0.217391304347826,0.2150537634408602,0.7179453478037727,0.3111600511239284,0.2162162162162162,0.4438787024371062,1.2585474189872292,low light x warm
0,train,0.2878741203106287,0.8382352941176471,0.1919191919191919,0.2043010752688172,0.6277930076232678,0.2702642252749333,0.1979166666666666,0.4304348961309105,1.2900517728534524,warm
3,valid,0.260094974999955,0.8645038167938931,0.119047619047619,0.1282051282051282,0.6747819191118161,0.1297763144723135,0.1234567901234567,0.3441286544239884,1.40089257261219,low light x warm
1,valid,0.2589369106910414,0.8492366412213741,0.0833333333333333,0.1025641025641025,0.7769230769230769,0.1690853132630833,0.0919540229885057,0.3053838862834547,1.4534441853748632,warm
