,loss,acc,prec,rec,roc,pr,f1,gmean,rmse
train,0.2878741203106287,0.8382352941176471,0.1919191919191919,0.20430107526881722,0.6277930076232678,0.2702642252749333,0.19791666666666666,0.4304348961309105,1.2900517728534524
valid,0.2589369106910414,0.8492366412213741,0.08333333333333333,0.10256410256410256,0.7769230769230769,0.1690853132630833,0.09195402298850573,0.30538388628345475,1.4534441853748632
