,loss,acc,prec,rec,roc,pr,f1,gmean,rmse
train,0.28373092269776856,0.8476890756302521,0.21739130434782608,0.21505376344086022,0.7179453478037727,0.3111600511239284,0.21621621621621623,0.44387870243710625,1.2585474189872292
valid,0.26009497499995504,0.8645038167938931,0.11904761904761904,0.1282051282051282,0.6747819191118161,0.12977631447231353,0.12345679012345678,0.3441286544239884,1.40089257261219
