,metric,se,p,n_samples,n_datapoints
loo,-172.05727810567487,20.168891877034206,11.824178086678842,80000,137
waic,-170.60105439724094,19.927260553214555,10.367954378244939,80000,137
deviance,344.11455621134974,40.33778375406841,11.824178086678842,80000,137
