,metric,se,p,n_samples,n_datapoints
loo,-182.2807789197543,20.670682479826226,30.575749972271637,80000,137
waic,-179.56071404393552,20.231353321248207,27.855685096452817,80000,137
deviance,364.5615578395086,41.34136495965245,30.575749972271637,80000,137
